id,name,instructions,short_description,category,sub_category,image,difficulty_level,rep_range_min,rep_range_max,recommended_duration_seconds,recommended_rest_seconds,estimated_calories_per_minute,range_of_motion,injury_risk_level,next_progression_exercise,previous_progression_exercise
126,Crunch Statique 126,Instructions generees pour Crunch Statique 126. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_126.png,Avance,10,15,30,60,6.0,Etendu,Moyen,,
127,Session Fractionne 127,Instructions generees pour Session Fractionne 127. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_127.png,Avance,,,1200,0,12.0,Partiel,Faible,,
128,Gainage Barre 79,Instructions generees pour Gainage Barre 79. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_128.png,Debutant,10,5,30,120,5.0,Etendu,Moyen,85,84
129,Pompes Claquee 129,Instructions generees pour Pompes Claquee 129. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_129.png,Debutant,8,20,30,30,6.0,Complet,Faible,127,126
130,Squat Claquee 130,Instructions generees pour Squat Claquee 130. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_130.png,Debutant,15,50,45,90,4.0,Etendu,Faible,,
131,Gainage Poulie 51,Instructions generees pour Gainage Poulie 51. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_131.png,Avance,3,15,60,60,5.0,Complet,Moyen,32,31
132,Session Endurance 132,Instructions generees pour Session Endurance 132. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_132.png,Avance,,,1200,0,15.0,Partiel,Moyen,33,32
133,Fentes Kettlebell 80,Instructions generees pour Fentes Kettlebell 80. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_133.png,Debutant,8,8,90,90,7.0,Complet,Eleve,14,13
134,Session Fractionne 134,Instructions generees pour Session Fractionne 134. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_134.png,Debutant,,,1200,0,12.0,Etendu,Moyen,50,49
135,Session Fractionne 135,Instructions generees pour Session Fractionne 135. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_135.png,Intermediaire,,,1800,0,15.0,Complet,Moyen,,
136,Squat Barre 39,Instructions generees pour Squat Barre 39. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_136.png,Intermediaire,8,8,90,30,5.0,Complet,Eleve,15,14
137,Session Fractionne 137,Instructions generees pour Session Fractionne 137. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_137.png,Avance,,,1800,0,12.0,Complet,Faible,,
138,Fentes Incline 52,Instructions generees pour Fentes Incline 52. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_138.png,Avance,10,15,90,90,9.0,Etendu,Moyen,41,40
139,Gainage Lent 139,Instructions generees pour Gainage Lent 139. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_139.png,Avance,5,20,30,30,5.0,Etendu,Moyen,,
140,Session Fractionne 140,Instructions generees pour Session Fractionne 140. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_140.png,Intermediaire,,,1200,0,15.0,Complet,Moyen,56,55
141,Session Fractionne 141,Instructions generees pour Session Fractionne 141. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_141.png,Avance,,,1800,0,10.0,Partiel,Faible,,
142,Gainage Barre 88,Instructions generees pour Gainage Barre 88. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_142.png,Avance,3,12,90,30,9.0,Partiel,Eleve,24,23
143,Fentes Barre 83,Instructions generees pour Fentes Barre 83. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_143.png,Avance,8,12,120,90,9.0,Complet,Eleve,,
144,Gainage Poulie 5,Instructions generees pour Gainage Poulie 5. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_144.png,Debutant,5,15,30,60,5.0,Complet,Eleve,55,54
145,Gainage Statique 145,Instructions generees pour Gainage Statique 145. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_145.png,Avance,5,15,90,30,8.0,Etendu,Faible,,
146,Saut Incline 2,Instructions generees pour Saut Incline 2. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_146.png,Debutant,3,5,60,90,9.0,Complet,Moyen,12,11
147,Gainage Bande Elastique 48,Instructions generees pour Gainage Bande Elastique 48. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_147.png,Intermediaire,10,8,120,90,9.0,Partiel,Moyen,,
148,Squat Saute 148,Instructions generees pour Squat Saute 148. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_148.png,Debutant,5,20,60,60,5.0,Partiel,Faible,,
149,Fentes Decline 8,Instructions generees pour Fentes Decline 8. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_149.png,Avance,10,5,30,120,7.0,Complet,Eleve,,
150,Crunch Claquee 150,Instructions generees pour Crunch Claquee 150. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_150.png,Avance,15,50,30,90,5.0,Complet,Moyen,49,48
151,Gainage Lent 151,Instructions generees pour Gainage Lent 151. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_151.png,Intermediaire,8,15,60,120,4.0,Complet,Moyen,5,4
152,Session Endurance 152,Instructions generees pour Session Endurance 152. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_152.png,Debutant,,,600,0,8.0,Etendu,Moyen,,
153,Session Fractionne 153,Instructions generees pour Session Fractionne 153. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_153.png,Avance,,,600,0,12.0,Etendu,Faible,,
154,Session Fractionne 154,Instructions generees pour Session Fractionne 154. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_154.png,Debutant,,,1200,0,10.0,Partiel,Faible,,
155,Session Sprint 155,Instructions generees pour Session Sprint 155. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_155.png,Debutant,,,1800,0,12.0,Etendu,Moyen,55,54
156,Fentes Lent 156,Instructions generees pour Fentes Lent 156. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_156.png,Debutant,10,50,60,90,4.0,Partiel,Faible,134,133
157,Session Sprint 157,Instructions generees pour Session Sprint 157. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_157.png,Debutant,,,1800,0,8.0,Etendu,Moyen,,
158,Crunch Lent 158,Instructions generees pour Crunch Lent 158. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_158.png,Intermediaire,15,50,120,90,8.0,Complet,Faible,17,16
159,Squat Lent 159,Instructions generees pour Squat Lent 159. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_159.png,Avance,5,20,30,120,8.0,Partiel,Faible,,
160,Session Fractionne 160,Instructions generees pour Session Fractionne 160. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_160.png,Avance,,,1200,0,8.0,Partiel,Faible,,
161,Saut Decline 13,Instructions generees pour Saut Decline 13. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_161.png,Intermediaire,5,12,120,90,7.0,Partiel,Eleve,,
162,Session Sprint 162,Instructions generees pour Session Sprint 162. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_162.png,Avance,,,1200,0,12.0,Partiel,Moyen,161,160
163,Developpe Statique 163,Instructions generees pour Developpe Statique 163. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_163.png,Avance,15,50,60,90,6.0,Partiel,Moyen,154,153
164,Session Sprint 164,Instructions generees pour Session Sprint 164. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_164.png,Avance,,,1200,0,8.0,Etendu,Faible,153,152
165,Gainage Kettlebell 55,Instructions generees pour Gainage Kettlebell 55. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_165.png,Avance,3,15,30,120,5.0,Complet,Eleve,,
166,Souleve Kettlebell 71,Instructions generees pour Souleve Kettlebell 71. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_166.png,Intermediaire,3,12,90,90,5.0,Complet,Eleve,,
167,Session Fractionne 167,Instructions generees pour Session Fractionne 167. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_167.png,Intermediaire,,,1800,0,8.0,Partiel,Faible,75,74
168,Course Statique 168,Instructions generees pour Course Statique 168. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_168.png,Debutant,10,15,60,120,8.0,Complet,Moyen,166,165
169,Course Statique 169,Instructions generees pour Course Statique 169. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_169.png,Debutant,15,20,60,90,6.0,Etendu,Faible,,
170,Tirage Claquee 170,Instructions generees pour Tirage Claquee 170. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_170.png,Debutant,8,20,90,30,8.0,Partiel,Moyen,,
171,Squat Saute 171,Instructions generees pour Squat Saute 171. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_171.png,Avance,15,10,120,120,5.0,Etendu,Faible,,
172,Session Endurance 172,Instructions generees pour Session Endurance 172. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_172.png,Avance,,,600,0,15.0,Etendu,Moyen,139,138
173,Session Fractionne 173,Instructions generees pour Session Fractionne 173. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_173.png,Avance,,,1800,0,10.0,Etendu,Moyen,,
174,Session Fractionne 174,Instructions generees pour Session Fractionne 174. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_174.png,Debutant,,,1800,0,15.0,Partiel,Moyen,,
175,Session Sprint 175,Instructions generees pour Session Sprint 175. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_175.png,Debutant,,,1800,0,8.0,Etendu,Moyen,71,70
176,Saut Poulie 21,Instructions generees pour Saut Poulie 21. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_176.png,Debutant,8,12,45,90,5.0,Complet,Moyen,,
177,Crunch Barre 53,Instructions generees pour Crunch Barre 53. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_177.png,Avance,3,12,90,60,7.0,Etendu,Moyen,22,21
178,Developpe Claquee 178,Instructions generees pour Developpe Claquee 178. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_178.png,Intermediaire,8,15,45,60,6.0,Etendu,Faible,,
179,Session Endurance 179,Instructions generees pour Session Endurance 179. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_179.png,Intermediaire,,,1800,0,12.0,Etendu,Faible,,
180,Saut Halteres 8,Instructions generees pour Saut Halteres 8. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_180.png,Intermediaire,8,5,90,90,9.0,Complet,Moyen,,
181,Saut Statique 181,Instructions generees pour Saut Statique 181. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_181.png,Avance,10,15,120,30,5.0,Complet,Faible,,
182,Session Fractionne 182,Instructions generees pour Session Fractionne 182. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_182.png,Intermediaire,,,600,0,15.0,Partiel,Faible,,
183,Course Barre 92,Instructions generees pour Course Barre 92. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_183.png,Avance,5,8,90,120,7.0,Partiel,Eleve,43,42
184,Squat Lent 184,Instructions generees pour Squat Lent 184. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_184.png,Debutant,5,10,120,30,8.0,Partiel,Faible,75,74
185,Pompes Claquee 185,Instructions generees pour Pompes Claquee 185. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_185.png,Debutant,5,20,120,60,8.0,Etendu,Faible,,
186,Developpe Incline 51,Instructions generees pour Developpe Incline 51. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_186.png,Avance,10,12,90,120,9.0,Etendu,Moyen,,
187,Tirage Saute 187,Instructions generees pour Tirage Saute 187. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_187.png,Avance,15,10,45,60,4.0,Partiel,Moyen,,
188,Saut Bande Elastique 85,Instructions generees pour Saut Bande Elastique 85. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_188.png,Debutant,10,15,120,90,5.0,Complet,Eleve,42,41
189,Course Statique 189,Instructions generees pour Course Statique 189. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_189.png,Avance,5,15,120,120,8.0,Etendu,Moyen,36,35
190,Fentes Lent 190,Instructions generees pour Fentes Lent 190. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_190.png,Intermediaire,8,20,120,90,6.0,Complet,Faible,175,174
191,Session Endurance 191,Instructions generees pour Session Endurance 191. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_191.png,Intermediaire,,,600,0,15.0,Complet,Moyen,,
192,Squat Claquee 192,Instructions generees pour Squat Claquee 192. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_192.png,Debutant,10,15,45,60,4.0,Complet,Faible,179,178
193,Session Endurance 193,Instructions generees pour Session Endurance 193. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_193.png,Avance,,,1200,0,12.0,Etendu,Moyen,,
194,Session Fractionne 194,Instructions generees pour Session Fractionne 194. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_194.png,Intermediaire,,,1800,0,15.0,Etendu,Moyen,,
195,Session Sprint 195,Instructions generees pour Session Sprint 195. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_195.png,Debutant,,,600,0,15.0,Partiel,Faible,,
196,Saut Halteres 99,Instructions generees pour Saut Halteres 99. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_196.png,Avance,5,5,30,60,9.0,Complet,Moyen,15,14
197,Squat Saute 197,Instructions generees pour Squat Saute 197. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_197.png,Intermediaire,8,20,30,90,8.0,Complet,Faible,,
198,Gainage Incline 8,Instructions generees pour Gainage Incline 8. Gardez une bonne posture.,Exercice de type Musculation ciblant Pectoraux.,Musculation,Pectoraux,img_198.png,Intermediaire,10,15,90,30,5.0,Complet,Moyen,,
199,Session Fractionne 199,Instructions generees pour Session Fractionne 199. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_199.png,Debutant,,,1200,0,8.0,Complet,Moyen,140,139
200,Souleve Kettlebell 32,Instructions generees pour Souleve Kettlebell 32. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_200.png,Debutant,10,15,120,60,5.0,Partiel,Moyen,80,79
201,Developpe Saute 201,Instructions generees pour Developpe Saute 201. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_201.png,Avance,10,20,45,90,4.0,Partiel,Faible,81,80
202,Session Sprint 202,Instructions generees pour Session Sprint 202. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_202.png,Avance,,,1800,0,15.0,Complet,Faible,20,19
203,Course Incline 85,Instructions generees pour Course Incline 85. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_203.png,Debutant,3,12,45,30,9.0,Etendu,Eleve,,
204,Souleve Barre 91,Instructions generees pour Souleve Barre 91. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_204.png,Avance,10,12,60,30,5.0,Etendu,Eleve,34,33
205,Session Endurance 205,Instructions generees pour Session Endurance 205. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_205.png,Debutant,,,1200,0,10.0,Complet,Moyen,,
206,Developpe Incline 74,Instructions generees pour Developpe Incline 74. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_206.png,Avance,10,8,60,30,5.0,Partiel,Moyen,,
207,Souleve Saute 207,Instructions generees pour Souleve Saute 207. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_207.png,Avance,8,15,30,60,4.0,Etendu,Moyen,193,192
208,Session Sprint 208,Instructions generees pour Session Sprint 208. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_208.png,Intermediaire,,,1200,0,10.0,Partiel,Faible,25,24
209,Saut Claquee 209,Instructions generees pour Saut Claquee 209. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_209.png,Debutant,5,20,90,30,5.0,Partiel,Moyen,,
210,Souleve Claquee 210,Instructions generees pour Souleve Claquee 210. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_210.png,Intermediaire,10,50,120,90,8.0,Etendu,Moyen,127,126
211,Fentes Incline 16,Instructions generees pour Fentes Incline 16. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_211.png,Debutant,3,12,60,60,9.0,Partiel,Eleve,117,116
212,Course Bande Elastique 97,Instructions generees pour Course Bande Elastique 97. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_212.png,Debutant,8,15,90,90,5.0,Complet,Moyen,64,63
213,Crunch Kettlebell 31,Instructions generees pour Crunch Kettlebell 31. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_213.png,Avance,8,12,45,90,5.0,Etendu,Eleve,104,103
214,Souleve Unilateral 94,Instructions generees pour Souleve Unilateral 94. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_214.png,Avance,5,12,30,30,5.0,Complet,Eleve,,
215,Pompes Unilateral 39,Instructions generees pour Pompes Unilateral 39. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_215.png,Avance,3,5,30,30,7.0,Partiel,Eleve,152,151
216,Session Sprint 216,Instructions generees pour Session Sprint 216. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_216.png,Avance,,,600,0,8.0,Partiel,Moyen,,
217,Saut Incline 79,Instructions generees pour Saut Incline 79. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_217.png,Intermediaire,8,8,90,120,7.0,Etendu,Moyen,,
218,Squat Statique 218,Instructions generees pour Squat Statique 218. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_218.png,Intermediaire,8,15,90,90,5.0,Partiel,Faible,,
219,Session Sprint 219,Instructions generees pour Session Sprint 219. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_219.png,Intermediaire,,,600,0,8.0,Complet,Moyen,204,203
220,Session Sprint 220,Instructions generees pour Session Sprint 220. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_220.png,Avance,,,600,0,12.0,Complet,Faible,17,16
221,Gainage Statique 221,Instructions generees pour Gainage Statique 221. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_221.png,Avance,8,15,45,120,6.0,Etendu,Faible,164,163
222,Session Sprint 222,Instructions generees pour Session Sprint 222. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_222.png,Intermediaire,,,1200,0,15.0,Complet,Moyen,37,36
223,Saut Claquee 223,Instructions generees pour Saut Claquee 223. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_223.png,Intermediaire,8,15,120,30,8.0,Complet,Moyen,55,54
224,Gainage Lent 224,Instructions generees pour Gainage Lent 224. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_224.png,Avance,8,15,90,120,4.0,Partiel,Faible,,
225,Tirage Claquee 225,Instructions generees pour Tirage Claquee 225. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Jambes.,Poids du Corps,Jambes,img_225.png,Intermediaire,10,20,120,60,8.0,Partiel,Faible,54,53
226,Developpe Lent 226,Instructions generees pour Developpe Lent 226. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_226.png,Debutant,8,15,30,90,4.0,Etendu,Faible,158,157
227,Session Sprint 227,Instructions generees pour Session Sprint 227. Gardez une bonne posture.,Exercice de type Cardio ciblant Agilite.,Cardio,Agilite,img_227.png,Debutant,,,1200,0,8.0,Complet,Moyen,,
228,Course Decline 24,Instructions generees pour Course Decline 24. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_228.png,Intermediaire,8,8,90,60,5.0,Partiel,Eleve,,
229,Fentes Halteres 55,Instructions generees pour Fentes Halteres 55. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_229.png,Debutant,10,8,60,30,5.0,Partiel,Eleve,122,121
230,Pompes Decline 43,Instructions generees pour Pompes Decline 43. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_230.png,Debutant,3,5,30,90,7.0,Etendu,Moyen,4,3
231,Saut Barre 78,Instructions generees pour Saut Barre 78. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_231.png,Avance,8,12,90,90,5.0,Etendu,Eleve,,
232,Souleve Claquee 232,Instructions generees pour Souleve Claquee 232. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_232.png,Debutant,5,50,90,120,5.0,Complet,Faible,204,203
233,Session Fractionne 233,Instructions generees pour Session Fractionne 233. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_233.png,Intermediaire,,,1200,0,8.0,Partiel,Moyen,,
234,Crunch Poulie 87,Instructions generees pour Crunch Poulie 87. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_234.png,Avance,3,8,120,90,7.0,Etendu,Eleve,,
235,Pompes Saute 235,Instructions generees pour Pompes Saute 235. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_235.png,Intermediaire,5,20,120,60,6.0,Etendu,Moyen,,
236,Session Sprint 236,Instructions generees pour Session Sprint 236. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_236.png,Avance,,,600,0,15.0,Complet,Faible,,
237,Tirage Bande Elastique 68,Instructions generees pour Tirage Bande Elastique 68. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_237.png,Intermediaire,8,5,30,60,7.0,Etendu,Moyen,129,128
238,Fentes Decline 39,Instructions generees pour Fentes Decline 39. Gardez une bonne posture.,Exercice de type Musculation ciblant Epaules.,Musculation,Epaules,img_238.png,Avance,3,8,45,60,7.0,Etendu,Moyen,17,16
239,Fentes Lent 239,Instructions generees pour Fentes Lent 239. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Bras.,Poids du Corps,Bras,img_239.png,Avance,15,15,60,30,6.0,Complet,Faible,,
240,Developpe Poulie 83,Instructions generees pour Developpe Poulie 83. Gardez une bonne posture.,Exercice de type Musculation ciblant Dos.,Musculation,Dos,img_240.png,Intermediaire,3,5,45,120,7.0,Complet,Eleve,,
241,Tirage Lent 241,Instructions generees pour Tirage Lent 241. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Dos.,Poids du Corps,Dos,img_241.png,Intermediaire,15,10,30,30,5.0,Partiel,Faible,,
242,Session Fractionne 242,Instructions generees pour Session Fractionne 242. Gardez une bonne posture.,Exercice de type Cardio ciblant HIIT.,Cardio,HIIT,img_242.png,Avance,,,1200,0,10.0,Partiel,Faible,,
243,Course Kettlebell 75,Instructions generees pour Course Kettlebell 75. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_243.png,Intermediaire,5,8,90,90,7.0,Partiel,Moyen,70,69
244,Souleve Saute 244,Instructions generees pour Souleve Saute 244. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_244.png,Avance,10,50,45,120,5.0,Partiel,Faible,,
245,Course Halteres 83,Instructions generees pour Course Halteres 83. Gardez une bonne posture.,Exercice de type Musculation ciblant Bras.,Musculation,Bras,img_245.png,Intermediaire,8,5,30,120,5.0,Etendu,Eleve,171,170
246,Squat Bande Elastique 18,Instructions generees pour Squat Bande Elastique 18. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_246.png,Intermediaire,8,12,60,120,5.0,Partiel,Moyen,118,117
247,Squat Decline 25,Instructions generees pour Squat Decline 25. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_247.png,Intermediaire,8,8,60,90,7.0,Complet,Moyen,,
248,Pompes Statique 248,Instructions generees pour Pompes Statique 248. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_248.png,Debutant,10,50,60,60,8.0,Partiel,Faible,,
249,Gainage Halteres 25,Instructions generees pour Gainage Halteres 25. Gardez une bonne posture.,Exercice de type Musculation ciblant Jambes.,Musculation,Jambes,img_249.png,Intermediaire,8,5,60,120,5.0,Etendu,Moyen,,
250,Session Sprint 250,Instructions generees pour Session Sprint 250. Gardez une bonne posture.,Exercice de type Cardio ciblant Endurance.,Cardio,Endurance,img_250.png,Avance,,,1200,0,8.0,Partiel,Faible,,
251,Pompes Lent 251,Instructions generees pour Pompes Lent 251. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Abdominaux.,Poids du Corps,Abdominaux,img_251.png,Debutant,10,10,90,120,5.0,Partiel,Moyen,9,8
252,Squat Claquee 252,Instructions generees pour Squat Claquee 252. Gardez une bonne posture.,Exercice de type Poids du Corps ciblant Pectoraux.,Poids du Corps,Pectoraux,img_252.png,Intermediaire,15,50,60,120,5.0,Partiel,Moyen,106,105
